Month,type,amount
1,Metropolitan train,16809932
2,Metropolitan train,19554477
3,Metropolitan train,22659010
4,Metropolitan train,20312040
5,Metropolitan train,22768447
6,Metropolitan train,19284755
7,Metropolitan train,20732099
8,Metropolitan train,22566766
9,Metropolitan train,20056487
10,Metropolitan train,22299761
11,Metropolitan train,20806123
12,Metropolitan train,16665365
1,Metropolitan tram,15231368
2,Metropolitan tram,16980925
3,Metropolitan tram,19832126
4,Metropolitan tram,16919872
5,Metropolitan tram,17691427
6,Metropolitan tram,15836171
7,Metropolitan tram,17169239
8,Metropolitan tram,18415592
9,Metropolitan tram,15892774
10,Metropolitan tram,18677490
11,Metropolitan tram,17398998
12,Metropolitan tram,15404107
1,Metropolitan bus,7568547
2,Metropolitan bus,10487311
3,Metropolitan bus,11528895
4,Metropolitan bus,9592750
5,Metropolitan bus,11263486
6,Metropolitan bus,9526795
7,Metropolitan bus,9657327
8,Metropolitan bus,11756706
9,Metropolitan bus,9878596
10,Metropolitan bus,11233979
11,Metropolitan bus,10367915
12,Metropolitan bus,7941245
1,Regional train,1466256
2,Regional train,1522981
3,Regional train,1809774
4,Regional train,1684827
5,Regional train,1790656
6,Regional train,1535636
7,Regional train,1799245
8,Regional train,1845673
9,Regional train,1676490
10,Regional train,1872410
11,Regional train,1755492
12,Regional train,1534399
1,Regional coach,116568
2,Regional coach,103197
3,Regional coach,117180
4,Regional coach,107480
5,Regional coach,109456
6,Regional coach,101215
7,Regional coach,109103
8,Regional coach,110348
9,Regional coach,104525
10,Regional coach,121267
11,Regional coach,111699
12,Regional coach,113023
1,Regional bus,721229
2,Regional bus,1118494
3,Regional bus,1224816
4,Regional bus,946218
5,Regional bus,1258704
6,Regional bus,1077970
7,Regional bus,967622
8,Regional bus,1261319
9,Regional bus,1033758
10,Regional bus,1232418
11,Regional bus,1182863
12,Regional bus,878944
